locale,key,value
en_US,connect_astra,Setting up Astra DB connection...
en_US,load_embedding,Getting the OpenAI embedding...
en_US,load_vectorstore,Getting the Vector Store from Astra DB...
en_US,load_retriever,Getting the retriever...
en_US,load_message_history,Getting the Message History from Astra DB...
en_US,load_model,Getting the OpenAI Chat Model...
en_US,load_context,Upload a document for additional context
en_US,load_context_button,Save
en_US,delete_context,"Delete the context, history and start over. This deletes vector embeddings for ALL users!"
en_US,delete_context_button,Delete context
en_US,deleting_context,Removing context and intialising...
en_US,delete_memory,"Delete the history in the conversational memory."
en_US,deleting_memory,Removing memory...
en_US,delete_memory_button,Delete chat history
en_US,assistant_welcome,"Hi, I'm your personal assistant and am ready to help!"
en_US,assistant_question,What's up?
en_US,load_text,chuncks loaded into Astra DB
en_US,load_pdf,pages loaded into Astra DB
en_US,assistant_leadin,Type for example:
en_US,rails_1,ぉ Try the following prompts 猬锔
en_US,rails_2,(copy and paste in the chat box)
en_US,logout_caption,Welcome! Logged in as
en_US,logout_button,Logout
en_US,sources_used,The following context was used for this answer:
nl_NL,connect_astra,Verkrijgen van de Astra DB verbinding...
nl_NL,load_embedding,Verkrijgen van de OpenAI embedding...
nl_NL,load_vectorstore,Verkrijgen van de vector opslag...
nl_NL,load_retriever,Verkrijgen van de retriever...
nl_NL,load_message_history,Verkrijgen van Message History...
nl_NL,load_model,Verkrijgen van het OpenAI chat model...
nl_NL,load_context,Upload een document voor additionele context
nl_NL,load_context_button,Opslaan
nl_NL,delete_context,"Verwijder de context, historie en begin opnieuw. Dit verwijderd vector data voor ALLE gebruikers!"
nl_NL,delete_context_button,Verwijder context
nl_NL,deleting_context,Context verwijderen en herinitialiseren...
nl_NL,delete_memory,"Verwijder de historie uit het chat geheugen."
nl_NL,deleting_memory,Memory verwijderen...
nl_NL,delete_memory_button,Verwijder chat historie
nl_NL,assistant_welcome,"Hallo, ik ben je persoonlijke assistent en sta voor je klaar!"
nl_NL,assistant_question,Waar kan ik mee helpen?
nl_NL,load_text,chuncks geladen in Astra DB
nl_NL,load_pdf,paginas geladen in Astra DB
nl_NL,assistant_leadin,Bijvoorbeeld:
nl_NL,rails_1,ぉ Probeer de volgende prompts 猬锔
nl_NL,rails_2,(kopieer en plak in de chat)
nl_NL,logout_caption,Welkom! Ingelogd als
nl_NL,logout_button,Uitloggen
nl_NL,sources_used,De volgende context is gebruikt voor dit antwoord:
pt_BR,connect_astra,Conectando com o Astra DB...
pt_BR,load_embedding,Buscando embeddings na OpenAI...
pt_BR,load_vectorstore,Conectando com o Astra DB Vector Store...
pt_BR,load_retriever,Conectando o retriever...
pt_BR,load_message_history,Obtendo o hist贸rico de mensagens do Astra DB...
pt_BR,load_model,Obtendo o modelo de bate-papo OpenAI...
pt_BR,load_context,Carregue um documento para contexto adicional
pt_BR,load_context_button,Gravar
pt_BR,delete_context,"Exclua o contexto, o hist贸rico e recomece. Isso exclui embeddings de vetores para TODOS os usu谩rios!"
pt_BR,delete_context_button,Remover contexto context
pt_BR,deleting_context,Removendo contexto e inicializando...
pt_BR,delete_memory,"Exclua o hist贸rico da mem贸ria conversacional."
pt_BR,deleting_memory,Apagando mem贸ria...
pt_BR,delete_memory_button,Excluir hist贸rico de bate-papo
pt_BR,assistant_welcome,"Ol谩, sou seu assistente pessoal e estou pronto para ajudar!"
pt_BR,assistant_question,E a铆?
pt_BR,load_text,chuncks carregados no Astra DB
pt_BR,load_pdf,p谩ginas carregadas no Astra DB
pt_BR,assistant_leadin,Digite por exemplo:
pt_BR,rails_1,ぉ Tente os seguintes prompts 猬锔
pt_BR,rails_2,(copie e cole na caixa de chat)
pt_BR,logout_caption,Bem vindo! Accessando como
pt_BR,logout_button,Sair
pt_BR,sources_used,O seguinte contexto foi usado para esta resposta:
pt_BR,tools_used,Ferramentas usadas para esta resposta:
es_ES,connect_astra,Configurando la conexi贸n Astra DB...
es_ES,load_embedding,Obteniendo los embeddings de OpenAI...
es_ES,load_vectorstore,Obteniendo Vector Store de Astra DB...
es_ES,load_retriever,Obteniendo el retriever...
es_ES,load_message_history,Obteniendo el historial de mensajes de Astra DB...
es_ES,load_model,Obteniendo el modelo de chat OpenAI...
es_ES,load_context,Subir un documento para contexto adicional
es_ES,load_context_button,Guardar
es_ES,delete_context,"Elimine el contexto, el historial y comience de nuevo. 隆Esto elimina las incrustaciones de vectores para TODOS los usuarios!"
es_ES,delete_context_button,Eliminar contexto
es_ES,deleting_context,Eliminando contexto e inicializando...
es_ES,delete_memory,Eliminar el historial en la memoria conversacional.
es_ES,deleting_memory,Eliminando memoria...
es_ES,delete_memory_button,Eliminar historial de chat
es_ES,assistant_welcome,"Hola, 隆soy tu asistente personal y estoy listo para ayudarte!"
es_ES,assistant_question,驴Qu茅 pasa?
es_ES,load_text,fragmentos cargados en Astra DB
es_ES,load_pdf,p谩ginas cargadas en Astra DB
es_ES,assistant_leadin,Escriba por ejemplo:
es_ES,rails_1,ぉ Pruebe las siguientes indicaciones 猬锔
es_ES,rails_2,(copiar y pegar en el cuadro de chat)
es_ES,logout_caption,隆Bienvenido! Conectado como
es_ES,logout_button,Cerrar sesi贸n
es_ES,sources_used,Se utiliz贸 el siguiente contexto para esta respuesta: